Date,Stock,Quater,"Revenue(RM,000)","Net_Profit(RM,000)",Earning_Per_Share (Cent),Dividend
30-Sep-19,SMTRACK,4th Quarter Report,424,"-1,984",-1.33,0
30-Sep-19,CETECH,2nd Quarter Report,"22,592",-199,-0.07,0.1
30-Sep-19,APFT,1st Quarter Report,0,-31,0,0
30-Sep-19,NEXGRAM,4th Quarter Report,"16,015","-22,987",-1.12,0
30-Sep-19,PRLEXUS,4th Quarter Report,"111,925","7,220",4.15,0
30-Sep-19,KOMARK,1st Quarter Report,"10,193","-2,140",-1.29,0
30-Sep-19,TRIVE,4th Quarter Report,465,"-3,140",-0.14,0
30-Sep-19,JAYCORP,4th Quarter Report,"80,539","4,669",3.46,7
30-Sep-19,CYPARK,3rd Quarter Report,"87,173","20,060",4.38,0
30-Sep-19,LBALUM,1st Quarter Report,"126,810","4,586",1.85,0
30-Sep-19,ARANK,4th Quarter Report,"120,825","3,335",1.97,2.5
30-Sep-19,MCEHLDG,4th Quarter Report,"16,618","-3,870",-8.72,0
27-Sep-19,BJMEDIA,1st Quarter Report,"4,994","-3,036",-1.29,0
27-Sep-19,GAMUDA,4th Quarter Report,"1,499,370","184,948",7.49,0
27-Sep-19,SUBUR,4th Quarter Report,"70,568","-15,651",-8.32,0
27-Sep-19,NTPM,1st Quarter Report,"184,894",503,0.04,0
27-Sep-19,HIAPTEK,4th Quarter Report,"309,875","29,564",2.21,0.5
27-Sep-19,TALAMT,2nd Quarter Report,"5,463","6,774",0.16,0
27-Sep-19,CRESNDO,2nd Quarter Report,"66,023","9,813",3.51,3
27-Sep-19,KMLOONG,2nd Quarter Report,"154,317","10,412",1.12,3
27-Sep-19,SAUDEE,4th Quarter Report,"20,002",-646,-0.48,0
27-Sep-19,ASTINO,4th Quarter Report,"152,856","5,546",2.03,0
27-Sep-19,SAPNRG,2nd Quarter Report,"1,927,400","-116,312",-0.73,0
26-Sep-19,MYNEWS,3rd Quarter Report,"131,679","7,448",1.09,0
26-Sep-19,COMCORP,2nd Quarter Report,184,"-2,069",-1.48,0
26-Sep-19,QUALITY,2nd Quarter Report,"33,129",-340,-0.59,0
26-Sep-19,HAIO,1st Quarter Report,"66,061","7,743",2.67,0
26-Sep-19,ANZO,4th Quarter Report,"1,721",-808,-0.09,0
26-Sep-19,COMFORT,2nd Quarter Report,"117,636","7,116",1.26,0
26-Sep-19,SOLID,1st Quarter Report,"65,057",975,0.25,0
26-Sep-19,SAPRES,2nd Quarter Report,"12,841","-2,872",-2.06,0
26-Sep-19,JOHAN,2nd Quarter Report,"24,013","-13,389",-2.15,0
26-Sep-19,SUPERLN,1st Quarter Report,"28,222","2,485",1.57,0.75
26-Sep-19,AEONCR,2nd Quarter Report,"404,446","49,127",16.03,22.25
26-Sep-19,VS,4th Quarter Report,"1,030,376","48,413",2.67,1.6
26-Sep-19,POHKONG,4th Quarter Report,"231,864","10,570",2.58,1.2
26-Sep-19,TOPGLOV,4th Quarter Report,"1,189,594","80,052",3.13,4
26-Sep-19,SCIENTX,4th Quarter Report,"938,765","133,402",25.89,10
25-Sep-19,YINSON,2nd Quarter Report,"213,439","41,142",3.75,4
25-Sep-19,ANALABS,1st Quarter Report,"29,909","3,323",3.05,0
25-Sep-19,HIGHTEC,3rd Quarter Report,"6,172",987,2.7,1.5
25-Sep-19,SYF,4th Quarter Report,"70,182","-30,420",-4.91,0
25-Sep-19,UMCCA,1st Quarter Report,"43,330","36,947",17.62,0
25-Sep-19,KEINHIN,1st Quarter Report,"58,834",996,0.91,0
25-Sep-19,GREENYB,Other,"6,674",-409,-0.12,0
25-Sep-19,VIS,3rd Quarter Report,"9,413",999,0.59,0
25-Sep-19,MBG,2nd Quarter Report,"11,215",74,0.12,0
25-Sep-19,XIANLNG,2nd Quarter Report,"3,294",52,0.07,0
25-Sep-19,DAIBOCI,Other,"123,275",-305,-0.09,0
24-Sep-19,SCGM,1st Quarter Report,"55,661","2,199",1.14,0.25
24-Sep-19,TECGUAN,2nd Quarter Report,"70,549","2,364",5.9,0
24-Sep-19,GKENT,2nd Quarter Report,"97,721","11,054",2.1,1.5
24-Sep-19,JKGLAND,2nd Quarter Report,"55,883","5,764",0.25,0
23-Sep-19,LKL,1st Quarter Report,"9,352",124,0.03,0
21-Sep-19,ICAP,1st Quarter Report,"4,581","2,163",1.55,0
20-Sep-19,MTAG,4th Quarter Report,"53,912","9,242",1.36,0
20-Sep-19,SCBUILD,2nd Quarter Report,455,-483,-0.05,0
20-Sep-19,MNC,1st Quarter Report,"4,812","-1,000",-0.21,0
20-Sep-19,M&G,1st Quarter Report,"53,508","-8,434",-1.17,0
20-Sep-19,POHUAT,3rd Quarter Report,"164,845","11,269",5.09,2
19-Sep-19,ECOWLD,3rd Quarter Report,"521,371","50,476",1.71,0
19-Sep-19,WONG,3rd Quarter Report,"16,266","1,075",1,0
19-Sep-19,KESM,4th Quarter Report,"70,909","2,291",5.33,6
19-Sep-19,EWINT,3rd Quarter Report,224,"57,936",2.41,0
18-Sep-19,SAPIND,2nd Quarter Report,"57,632",341,0.47,0
18-Sep-19,KYM,2nd Quarter Report,"23,619","-1,147",-0.85,0
17-Sep-19,GLOMAC,1st Quarter Report,"51,870","3,459",0.44,0
17-Sep-19,CYL,2nd Quarter Report,"11,092",3,0,0
13-Sep-19,BAUTO,1st Quarter Report,"535,044","50,515",4.35,3.25
12-Sep-19,ASTRO,2nd Quarter Report,"1,236,382","169,336",3.24,2
11-Sep-19,MAGNI,1st Quarter Report,"327,329","30,507",18.76,7
10-Sep-19,INNO,4th Quarter Report,"33,004","1,977",0.41,0
10-Sep-19,INNO,1st Quarter Report,"28,399","1,639",0.34,1
5-Sep-19,PWORTH,4th Quarter Report,"14,445","-90,405",-2.21,0
4-Sep-19,CARIMIN,4th Quarter Report,"167,979","9,706",4.15,1.6
3-Sep-19,UWC,4th Quarter Report,"46,908","10,074",2.75,0
30-Aug-19,MMIS,2nd Quarter Report,"5,756",862,34.95,0
30-Aug-19,SINOTOP,4th Quarter Report,"9,052","-74,820",-18.95,0
30-Aug-19,GETS,4th Quarter Report,"13,243","-3,904",-3.1,0
30-Aug-19,PRKCORP,2nd Quarter Report,"39,479","-21,913",-21.91,0
30-Aug-19,LONBISC,3rd Quarter Report,"54,462","-19,709",-6.78,0
30-Aug-19,PASDEC,2nd Quarter Report,"29,269","-2,576",-0.65,0
30-Aug-19,KHEESAN,2nd Quarter Report,"23,157",-561,-0.54,0.01
30-Aug-19,PERMAJU,Other,"16,446","-3,364",-1.8,0
30-Aug-19,MSPORTS,Other,0,-316,-0.05,0
30-Aug-19,KPOWER,4th Quarter Report,"11,970","2,302",3.02,0
30-Aug-19,MUIIND,4th Quarter Report,"88,302","-84,403",-2.88,0
30-Aug-19,HTPADU,2nd Quarter Report,"69,529","2,053",2.03,0
30-Aug-19,TITIJYA,4th Quarter Report,"44,047","2,037",0.15,0.15
30-Aug-19,VSOLAR,4th Quarter Report,"1,705",-358,-0.09,0
30-Aug-19,MCT,2nd Quarter Report,"107,165","2,760",0.19,0
30-Aug-19,LBS,2nd Quarter Report,"319,378","14,023",0.9,0
30-Aug-19,ICON,2nd Quarter Report,"50,144","-3,804",0.32,0
30-Aug-19,XOX,Other,"74,097",682,0.06,0
30-Aug-19,SUCCESS,4th Quarter Report,"69,052","2,846",1.21,0
30-Aug-19,BLDPLNT,1st Quarter Report,"338,812","-17,580",-18.8,0
30-Aug-19,IRETEX,Other,"2,836","11,862",6.42,0
30-Aug-19,SIGN,4th Quarter Report,"43,807",82,0,0
30-Aug-19,SRIDGE,4th Quarter Report,"2,926","-1,736",-1.24,0
30-Aug-19,PRIVA,2nd Quarter Report,"8,810,315","-1,620,906",-0.29,0
30-Aug-19,DGSB,Other,"26,651","2,588",0.35,0
30-Aug-19,PMHLDG,4th Quarter Report,"1,800",-650,-0.07,0
30-Aug-19,RGB,2nd Quarter Report,"55,163","7,154",0.46,0
30-Aug-19,WASEONG,2nd Quarter Report,"757,419","19,242",2.5,0
30-Aug-19,FOCUS,2nd Quarter Report,"9,308",678,0.03,0
30-Aug-19,PWF,2nd Quarter Report,"80,868",600,0.34,1
30-Aug-19,OKA,1st Quarter Report,"30,398","3,392",1.38,0
30-Aug-19,NGGB,Other,"9,981","-3,023",-0.63,0
30-Aug-19,BPURI,Other,"170,045",324,0.08,0
