news,label
?????????????????? ??????????????????,1
KLCI recovers on mild year-end window dressing,1
?????????????????????????????????????2??????,1
????????????????? ????????????,0
KLCI drifts lower as technical indicators point downwards,-1
KLCI dips 0.29% as mild profit taking erases gains,1
KLCI edges higher as index-linked plantation stocks lift,1
"KLCI dips 0.34% as Tenaga, Petronas stocks drag",0
"KLCI drifts lower as Petronas stocks, Tenaga weigh",1
???????????????????????? ??????????????????,0
KLCI pares gains as downtrend sentiment limits advance,0
"KLCI up 0.65% as US-China trade deal, British elections lift markets",-1
KLCI rises 0.51% in line with regional gains on Sino-US trade deal,0
Cover Story: Group signals interest in virtual banking licence in Malaysia,0
?????????????????? ??????????????????,0
"KLCI pares gains, stays up 0.43% as Petronas stocks lift",1
"KLCI rises 0.53% in line with regional gains, Petronas stocks lift",-1
"KLCI erases earlier loss as Top Glove, MAHB lift",0
"KLCI flatlines in line with region, trading seen muted",0
KLCI remains in negative zone as Petronas stocks drag,0
